symbol,most_recent_quarter,shares_outstanding,payout_ratio,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue_per_share,quarterly_revenue_growth,ebitda,diluted_eps,quarterly_earnings_growth,total_cash_per_share,total_debt_to_equity,current_ratio,operating_cash_flow
ACP,2011-04-29,17430000.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.01,30.28,-999.0,-999.0
GYRO,2015-06-29,1480000.0,0.0,-1.3705,-1.2672,-999.0,-999.0,1.85,-0.018,-3080000.0,-2.53,-999.0,5.4,69.24,-999.0,-3440000.0
AUTL,2018-12-30,70450000.0,0.0,0.0,-65.7075,-0.2227,-0.2962,0.03,-999.0,-68940000.0,-1.4,-999.0,5.52,-999.0,11.05,-999.0
ROCC,2019-07-30,14650000.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.77,-999.0
ROCCU,2019-07-30,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.77,-999.0
NMCO,2019-10-30,53280000.0,-999.0,-1.4869,0.8009000000000001,0.0276,-0.1106,1.04,-999.0,-999.0,-999.0,-999.0,0.22,-999.0,5.34,-401040000.0
BOX,2019-10-30,159850000.0,0.0,-0.1976,-0.196,-0.1192,-5.7583,4.63,0.136,-78840000.0,-0.91,-999.0,1.34,2048.84,0.76,61030000.0
JT,2019-12-30,21130000.0,0.0,-0.2234,0.0,-0.0621,-0.2952,-999.0,-0.61,-999.0,-0.29,-999.0,-999.0,6.85,2.92,-999.0
SANA,2019-12-30,187340000.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-192660000.0,-999.0,-999.0,9.75,17.54,17.17,-134220000.0
BVS,2019-12-30,39840000.0,0.0,0.0602,0.0908,-999.0,-999.0,65.33,-999.0,51540000.0,-999.0,-999.0,13.17,147.2,1.73,67400000.0
BFLY,2019-12-30,164860000.0,-999.0,0.0,-4.3533,-999.0,-999.0,7.16,-999.0,-178770000.0,-999.0,-999.0,15.34,-999.0,0.85,-83500000.0
DFH,2019-12-30,30860000.0,0.0,0.0464,0.0659,-999.0,-999.0,9377.64,-999.0,64560000.0,-999.0,-999.0,525.99,170.47,4.51,53120000.0
RMO,2019-12-30,126790000.0,-999.0,0.0,-3.5808,-999.0,-999.0,0.03,-999.0,-24810000.0,-999.0,-999.0,0.0,649.36,0.53,-23420000.0
DBTX,2019-12-30,24300000.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-27670000.0,-999.0,-999.0,12.16,-999.0,0.56,-38110000.0
SHLS,2019-12-30,93530000.0,0.0,0.2139,0.2305,-999.0,-999.0,1.61,-999.0,49600000.0,-999.0,-999.0,0.08,17.38,3.0,45610000.0
FDMT,2019-12-30,26490000.0,0.0,0.0,-3.1608,-999.0,-0.7989,3.21,-0.552,-51140000.0,-999.0,-999.0,9.44,-999.0,6.48,-42100000.0
CERT,2019-12-30,152980000.0,0.0,-0.0040999999999999,0.1343,-999.0,-999.0,1.76,-999.0,73800000.0,-999.0,-999.0,0.22,82.01,1.54,54370000.0
APR,2019-12-30,35210000.0,0.0,0.0237999999999999,0.0562999999999999,-999.0,-999.0,1104.13,-999.0,176990000.0,-999.0,-999.0,75.24,158.06,0.88,236940000.0
MILEW,2019-12-30,-999.0,-999.0,-1.7971,-1.6588,-999.0,-999.0,3.56,-999.0,-47800000.0,-999.0,-999.0,3.2,39.22,3.3,-26370000.0
LGVN,2019-12-30,2590000.0,0.0,-0.4511,-0.4559,-999.0,-999.0,3.05,-999.0,-2080000.0,-999.0,-999.0,0.9,93.1,0.76,-1660000.0
SEER,2019-12-30,55050000.0,0.0,0.0,-68.7989,-999.0,-999.0,0.04,-999.0,-24670000.0,-999.0,-999.0,6.8,-999.0,21.0,-18770000.0
MILE,2019-12-30,126730000.0,-999.0,-1.7971,-1.6588,-999.0,-999.0,3.56,-999.0,-47800000.0,-999.0,-999.0,3.2,39.22,3.3,-26370000.0
LHDX,2019-12-30,38310000.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-22690000.0,-999.0,-999.0,1.63,20.96,11.97,-18390000.0
KNTE,2019-12-30,41530000.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.52,-999.0,23.51,-19750000.0
VENAU,2019-12-30,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.43,3375.22,0.13,-999.0
SNSE,2019-12-30,30590000.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-16880000.0,-999.0,-999.0,0.14,-999.0,0.94,-16680000.0
TLIS,2019-12-30,23480000.0,0.0,0.0,-4.4387,-999.0,-999.0,4.35,-999.0,-53450000.0,-999.0,-999.0,7.11,-999.0,7.73,-56200000.0
BMBL,2019-12-30,115340000.0,0.0,-0.196,-0.0469,-999.0,-999.0,209.17,-999.0,42540000.0,-999.0,-999.0,22.14,53.97,1.35,28530000.0
LSEA,2019-12-30,46230000.0,-999.0,-0.0091,0.0272,-999.0,-999.0,-999.0,-999.0,23540000.0,-999.0,-999.0,-999.0,33.71,14.6,115840000.0
HMPT,2019-12-30,138860000.0,0.0,0.4061,0.5921,-999.0,-999.0,7.78,-999.0,645410000.0,-999.0,-999.0,0.22,585.49,2.51,-616170000.0
ANGN,2019-12-30,31030000.0,0.0,0.0,-17.8242,-999.0,-999.0,0.21,-999.0,-55450000.0,-999.0,-999.0,0.36,-999.0,0.21,-47910000.0
RSI,2019-12-30,44790000.0,-999.0,-0.5096,-0.509,-999.0,-999.0,-999.0,-999.0,-103280000.0,-999.0,-999.0,-999.0,-999.0,0.38,7510000.0
DRVN,2020-03-27,167410000.0,0.0,-0.0092,0.1346,-999.0,-999.0,-999.0,0.417,146420000.0,-999.0,-999.0,-999.0,500.71,1.24,76770000.0
BNSO,2020-03-30,4890000.0,0.0,0.0304,0.0276,0.0097,0.0266,2.82,0.992,1470000.0,0.08,-999.0,1.87,31.7,1.93,1160000.0
GTT,2020-03-30,58820000.0,0.0,-0.0951,0.0717,0.0158,-0.5814,30.07,-0.057,375600000.0,-2.859,-999.0,1.81,1887.09,0.6,132500000.0
HUDI,2020-03-30,13210000.0,0.0,0.1023,0.1458,0.0787,0.2822,2.95,-0.205,9340000.0,-999.0,0.315,0.04,145.13,1.07,-999.0
WAFU,2020-03-30,4380000.0,0.0,-0.2995,-0.2787,-0.0933,-0.2052,1.31,0.2739999999999999,-1410000.0,-0.394,-999.0,1.56,6.62,3.53,-999.0
DNK,2020-03-30,182880000.0,0.0,-0.4886999999999999,0.0,-999.0,-5.9919,-999.0,0.625,-999.0,-999.0,-999.0,-999.0,1961.84,0.36,-999.0
TIRX,2020-04-29,6750000.0,0.0,-0.1916,-0.3201,-0.0366,-0.0407,0.32,-0.346,-999.0,-999.0,-999.0,1.15,2.92,8.26,-999.0
CCV,2020-06-07,50000000.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0
MDVL,2020-06-29,31670000.0,-999.0,0.0,-3.408,-999.0,-999.0,4.52,1.958,-20080000.0,-999.0,-999.0,5.96,-999.0,0.42,-20620000.0
BRQS,2020-06-29,44140000.0,0.0,-0.6098,-0.5241,-0.3715,-999.0,2.76,-0.595,-43850000.0,-0.959,-999.0,0.03,-999.0,0.38,-999.0
PZC,2020-06-29,22370000.0,0.8143,0.6901,0.8287,0.0202,0.0344,0.85,-0.126,-999.0,0.48,-0.991,-999.0,21.51,11.0,-999.0
GRF,2020-06-29,4070000.000000001,-999.0,0.0,0.3529,0.0044,-0.0608999999999999,0.17,-0.266,-999.0,-0.53,-999.0,-999.0,-999.0,1.42,-999.0
JDD,2020-06-29,19670000.0,-999.0,-2.5731,0.7547,0.019,-0.1541,0.62,-0.253,-999.0,-1.58,-999.0,0.03,44.91,0.13,42140000.0
GSMGW,2020-06-29,-999.0,-999.0,0.4378,0.4338,0.2101,0.4534,9.74,0.063,28790000.0,-999.0,0.374,0.16,12.37,3.65,20520000.0
BROG,2020-06-29,109590000.0,0.0,-1.6099,0.6559,0.0650999999999999,-0.6259,0.48,0.039,34900000.0,-0.77,0.352,0.01,95.58,0.13,38170000.0
PRFX,2020-06-29,8910000.0,0.0,0.0,0.0,-0.9549,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.94,-999.0,0.08,-999.0
